split_text,classifier,new_label
把账号给我马上去,CutDebt,108
办理不了转账,CutDebt,108
到时候你直接在卡上扣款就行了,CutDebt,108
卡号先发给你,CutDebt,108
卡里有钱但是你们没扣我也没有办法还,CutDebt,108
卡里有去扣吧,CutDebt,108
扣吧,CutDebt,108
你扣吧,CutDebt,108
你这边从我卡里扣款吧,CutDebt,108
钱到了，扣款吧。,CutDebt,108
钱已经在卡里了。,CutDebt,108
钱在卡里,CutDebt,108
钱在卡里你们扣吧,CutDebt,108
我把钱存卡里你们直接扣,CutDebt,108
我存卡里你们直接扣吧,CutDebt,108
我放银行卡里你们扣,CutDebt,108
我现在微信还进去,CutDebt,108
我已经微信提现了，到账你们可以扣,CutDebt,108
我这就把卡号发给你扣款,CutDebt,108
现在转过去,CutDebt,108
这样子我立马就可以还，你们帐号好多？,CutDebt,108
到时候我联系你扣款,CutDebt,108
把账号给我马上去,Installment,108
出差没法还,Installment,108
到时候你直接在卡上扣款就行了,Installment,108
多少多少自己扣,Installment,108
好的我马上app处理,Installment,108
建行卡有钱你扣款吧,Installment,108
卡号给我，现场处理,Installment,108
卡号先发给你,Installment,108
卡号在这,Installment,108
卡里有钱,Installment,108
看下APP处理,Installment,108
可以，我现在还进去,Installment,108
那我现在怎么处理,Installment,108
你扣吧,Installment,108
你扣款吧！,Installment,108
你现在就可以扣款了,Installment,108
钱存在卡里，你们扣吧。,Installment,108
钱在卡里,Installment,108
钱在卡里你们扣吧,Installment,108
去扣,Installment,108
提前一天联系我，我做准备,Installment,108
我把钱存卡里你们直接扣,Installment,108
我把钱发给你帮我还吧,Installment,108
我放银行卡里你们扣,Installment,108
我马上用手机银行转账,Installment,108
我没有带银行卡,Installment,108
我让老公打给你,Installment,108
我现在通过微信还,Installment,108
我已经微信提现了，到账你们可以扣,Installment,108
我转账,Installment,108
现在扣吧,Installment,108
银行没开门,Installment,108
账号发给我,Installment,108
周边没银行,Installment,108
不知道该往哪里还啊，所以就一直没还,ConfirmLoan,108
卡里有钱但是你们没扣我也没有办法还,ConfirmLoan,108
看不到,ConfirmLoan,108
没有人联系,ConfirmLoan,108
我换张卡给你转,ConfirmLoan,108
把账号给我马上去,WillingToPay,108
到时候你直接在卡上扣款就行了,WillingToPay,108
嗯，麻烦把对公账号给我,WillingToPay,108
给我账号我现在就去还,WillingToPay,108
金额多少我等下APP处理,WillingToPay,108
卡里有钱，扣吧,WillingToPay,108
没问题，我卡里有钱，你可以代扣吗？我把卡号给你们,WillingToPay,108
钱在卡里,WillingToPay,108
去哪家银行处理,WillingToPay,108
微信转给你们吧,WillingToPay,108
我把钱存卡里你们直接扣,WillingToPay,108
我等下把卡号发你扣款,WillingToPay,108
我让别人给你打过去,WillingToPay,108
我现在山里面，还不了,WillingToPay,108
我现在通过微信还,WillingToPay,108
我现在怎么还,WillingToPay,108
我已经微信提现了，到账你们可以扣,WillingToPay,108
现在还，能给我开个结清证明吗,WillingToPay,108
现在就扣吧,WillingToPay,108
现在怎么还,WillingToPay,108
银行卡冻结了,WillingToPay,108
怎么处理,WillingToPay,108
账号多少,WillingToPay,108
账号发给我,WillingToPay,108
账号发我，我明天处理,WillingToPay,108
这么转账给你们,WillingToPay,108
不是我不还钱在卡里你们不扣还怪我但是利息我不还,WillingToPay,108
卡里有钱你们不扣怪谁,WillingToPay,108
你从卡里扣就行了,WillingToPay,108
你扣吧,WillingToPay,108
我放银行卡里你们扣,WillingToPay,108
我卡里有钱你扣吧,WillingToPay,108
